game,result
2019_1242_1318,1
2019_1266_1293,0
2019_1233_1314,0
2019_1330_1345,0
2019_1199_1436,1
2019_1276_1285,1
2019_1124_1393,1
2019_1279_1328,0
2019_1125_1396,1
2019_1235_1326,0
2019_1416_1433,1
2019_1153_1234,0
2019_1387_1439,0
2019_1297_1403,0
2019_1251_1280,1
2019_1159_1397,0
2019_1192_1341,1
2019_1133_1277,0
2019_1120_1308,1
2019_1261_1463,1
2019_1388_1437,0
2019_1205_1438,0
2019_1429_1449,0
2019_1371_1459,0
2019_1196_1305,1
2019_1295_1300,1
2019_1101_1246,0
2019_1243_1414,0
2019_1257_1278,0
2019_1113_1385,1
2019_1209_1222,0
2019_1332_1458,1
